brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
i-mobile,Hitz 2206,GSM,GSM 900 / 1800 - SIM 1,,,,Class 10,No,2010. Released 2010,Discontinued,110 x 59.4 x 13.4 mm (4.33 x 2.34 x 0.53 in),,,Dual SIM (Mini-SIM),TFT  65K colors,,220 x 176 pixels,,,,,microSD (dedicated slot),,,Yes,No,Yes,No,No,No,No,,Stereo FM radio,No,,Removable Li-Ion 1000 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/imobile-hitz-2206.jpg,0,False
Amoi,A310,GSM,GSM 900 / 1800 ,,,,Class 10,No,2006  2Q,Discontinued,91.9 x 41.8 x 14.9 mm (3.62 x 1.65 x 0.59 in),62,2.19,Mini-SIM,CSTN  65K colors,1.5 inches (~18.9% screen-to-body ratio),128 x 128 pixels (~121 ppi pixel density),,,,,No,5 MB,,,,No,No,No,No,No,,FM radio (Optional),No,,Removable Li-Ion 720 mAh battery,Silver black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-a310.gif,0,False
Vertu,Ascent Ti,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Yes,Yes,2007  July. Released 2008  April,Discontinued,115.5 x 49 x 13.1 mm| 74 cc (4.55 x 1.93 x 0.52 in),160,5.64,Mini-SIM,TFT  16M colors,2.0 inches (~21.9% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,No,4 GB,,3.15 MP| autofocus| LED flash,No,Yes with stereo speakers,No,No,Yes,No,,No,microUSB,,Non-removable Li-Ion 950 mAh battery,Carbon Fibre| Black| Brown| Red| Knurled| Checked,5530.0,http://cdn2.gsmarena.com/vv/bigpic/vertu-ascent-ti.jpg,0,False
Pantech,G600,GSM,GSM 900 / 1800 ,,,,Class 10,No,2004,Discontinued,87.3 x 46.5 x 22 mm (3.44 x 1.83 x 0.87 in),87,3.07,Mini-SIM,TFT  256K colors,,128 x 143 pixels,,,,,No,,,VGA| LED flash,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,Wine Red| European Silver,,http://cdn2.gsmarena.com/vv/bigpic/pthg600.gif,0,False
BenQ-Siemens,A53,GSM,GSM 900 / 1800 / 1900 ,,,,Class 12,No,2007  April,Discontinued,80 x 42 x 14.8 mm (3.15 x 1.65 x 0.58 in),68,2.4,Mini-SIM,TFT  256K colors,,176 x 220 pixels,,,,,microSD (dedicated slot),,,1.3 MP,No,Yes,No,No,No,No,,No,1.1,,Removable Li-Ion 600 mAh battery,Black| Blue| Pink,,http://cdn2.gsmarena.com/vv/bigpic/benqsiemens-a53.jpg,0,False
LG,Tribute 2,GSM / CDMA / HSPA / EVDO / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA,LTE band 2(1900)| 4(1700/2100)| 5(850)| 12(700)| 25(1900)| 26(850)| 41(2500),HSPA  LTE Cat4 150/50 Mbps  EV-DO Rev.A 3.1 Mbps,No,No,2015  July,Available. Released 2015  July,129.9 x 64.9 x 10.9 mm (5.11 x 2.56 x 0.43 in),138.9,4.94,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~66.2% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Adreno 306,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1900 mAh battery,BLue,90.0,http://cdn2.gsmarena.com/vv/bigpic/lg-tribute-2.jpg,-1,True
alcatel,OT-306,GSM,GSM 850 / 1900 ,,,,Class 10,No,2011  February,Available. Released 2011  Q3,107 x 46 x 14 mm (4.21 x 1.81 x 0.55 in),80,2.82,Mini-SIM,TFT  65K colors,1.45 inches (~13.8% screen-to-body ratio),128 x 128 pixels (~125 ppi pixel density),,52 MHz,,,microSD  up to 2 GB (dedicated slot),2 MB,,VGA,No,Yes,No,No,No,No,,FM radio| RDS,miniUSB (charging only),,Removable Li-Ion 500 mAh battery,Black| Cherry red| Pure white,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch306.jpg,0,False
BlackBerry,Curve 8530,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,EV-DO Rev.0  153.2 Kbps,No,No,2009  November. Released 2009  December,Discontinued,109 x 60 x 13.9 mm (4.29 x 2.36 x 0.55 in),106,3.74,Mini-SIM,TFT  65K colors,2.46 inches (~28.7% screen-to-body ratio),320 x 240 pixels (~163 ppi pixel density),BlackBerry OS 5.0,528 MHz,,,microSD  up to 32 GB (dedicated slot),256 MB ROM,,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,,No,microUSB,,Removable Li-Ion 1150 mAh battery,Black| Purple,60.0,http://cdn2.gsmarena.com/vv/bigpic/blackberry-curve-8530.jpg,0,False
Sony,Xperia C4,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 - E5303| E5353,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 20(800) - E5303,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Up to 85.6 kbps,Up to 236.8 kbps,2015  May,Available. Released 2015  June,150.3 x 77.4 x 7.9 mm (5.92 x 3.05 x 0.31 in),147,5.19,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,5.5 inches (~71.7% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 5.0 (Lollipop)| upgradable to 6.0 (Marshmallow),Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,Mali-T760MP2,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| LED flash,5 MP| f/2.2| 720p| LED flash,Yes,Yes,Wi-Fi 802.11 a/b/g/n| Wi-Fi Direct| DLNA| hotspot,4.1| A2DP| aptX,Yes with A-GPS GLONASS,Yes,FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Ion 2600 mAh battery,Black| White| Mint,220.0,http://cdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg,75,False
Lava,Z10,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),HSPA  LTE,Yes,Yes,2017  March,Available. Released 2017  March,143.2 x 71 x 8.4 mm (5.64 x 2.80 x 0.33 in),148,5.22,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A53,Mediatek MT6737,Mali-T720MP2,microSD  up to 128 GB (uses SIM 2 slot),16 GB,2/3 GB RAM,8 MP| f/2.0| autofocus| LED flash,5 MP| LED flash| 1.4 µm pixel size,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB On-The-Go,Accelerometer| proximity,Li-Ion 2620 mAh battery,Gold| Black/White,160.0,http://cdn2.gsmarena.com/vv/bigpic/lava-z10-.jpg,0,False
LG,Thrive P506,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 7.2/0.384 Mbps,Yes,Yes,2011  April,Available. Released 2011  April 17th,114 x 59 x 13 mm (4.49 x 2.32 x 0.51 in),91,3.21,Mini-SIM,TFT capacitive touchscreen  256K colors,3.2 inches (~45.3% screen-to-body ratio),320 x 480 pixels (~180 ppi pixel density),Android 2.2 (Froyo),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot)  2 GB included,160 MB,,3.15 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1500 mAh battery,Silver,70.0,http://cdn2.gsmarena.com/vv/bigpic/lg_thrive.jpg,0,False
Motorola,DROID RAZR HD,GSM / CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,LTE band 13(700),HSPA 21.1/5.76 Mbps  LTE  EV-DO Rev.A 3.1 Mbps,Class 12,Class 12,2012  September,Available. Released 2012  October,131.9 x 67.9 x 8.4 mm (5.19 x 2.67 x 0.33 in),146,5.15,Micro-SIM,Super AMOLED capacitive touchscreen  16M colors,4.7 inches (~68.0% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.4 (KitKat),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB (12 GB user available),1 GB RAM,8 MP| autofocus| LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,4.0| A2DP| EDR| LE,Yes with A-GPS S-GPS GLONASS,Yes,No,microUSB 2.0,Accelerometer| proximity| compass| barometer,Non-removable Li-Po 2530 mAh battery,Black| White,250.0,http://cdn2.gsmarena.com/vv/bigpic/motorla-razr-hd-vz.jpg,76,False
Vodafone,553,GSM,GSM 900 / 1800 ,,,,Class 12,Class 12,2010  September. Released 2010  Q4,Discontinued,108 x 53 x 14.9 mm (4.25 x 2.09 x 0.59 in),119,4.2,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~42.4% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),50 MB,,2 MP,No,Yes,No,No,2.0| A2DP,No,,FM radio,2,,Removable Li-Ion 900 mAh battery,White| Black| Pink| Silver,,http://cdn2.gsmarena.com/vv/bigpic/vodafone-553.jpg,0,False
Nokia,7710,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,4Q  2004,Discontinued,128 x 69.5 x 19 mm| 142 cc (5.04 x 2.74 x 0.75 in),189,6.67,Mini-SIM,TFT resistive touchscreen  65K colors,3.5 inches| 79 x 40 mm (~35.5% screen-to-body ratio),640 x 320 pixels (~204 ppi pixel density),Symbian 7.0s| Series 90 UI,168 MHz ARM925T,TI OMAP 1510,,MMC  128 MB included,90 MB,,1 MP,No,Yes,No,No,1.2,No,,FM radio,Pop-Port,,Removable Li-Po 1300 mAh battery (BP-5L),,,http://cdn2.gsmarena.com/vv/bigpic/no7710.gif,0,False
Samsung,V820L,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2008. Released 2008,Discontinued,103 x 51 x 18 mm (4.06 x 2.01 x 0.71 in),103,3.63,Mini-SIM,TFT  256K colors,2.6 inches (~39.9% screen-to-body ratio),240 x 320 pixels (~154 ppi pixel density),,,,,microSD (dedicated slot),28 MB,,2 MP| autofocus| LED flash,Yes,No,No,No,Yes,No,,No,Yes,,Removable battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-v820l.jpg,0,False
LG,U8380,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,No,2005  June,Discontinued,95.7 x 49.5 x 23.7 mm (3.77 x 1.95 x 0.93 in),130,4.59,Mini-SIM,TFT  256K colors,2.2 inches| 35 x 44 mm (~32.2% screen-to-body ratio),176 x 220 pixels (~128 ppi pixel density),,,,,microSD  up to 256 MB (dedicated slot),23 MB,,1.3 MP| LED flash,VGA videocall camera,Yes with stereo speakers,No,No,Yes,No,,No,Yes,,Removable Li-Ion battery,Blue,,http://cdn2.gsmarena.com/vv/bigpic/lg-u8380.gif,0,False
Maxwest,Astro 5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,Class 33,Class 33,2014  November,Available. Released 2014  December,142.8 x 73.4 x 9.3 mm (5.62 x 2.89 x 0.37 in),154,5.43,Dual SIM (dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.7% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 32 GB,4 GB,512 MB RAM,8 MP| autofocus| LED flash,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,White| Black| Blue| Rose Red,,http://cdn2.gsmarena.com/vv/bigpic/Maxwest-Astro-5.jpg,0,False
Lava,Iris 504q+,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  April,Available. Released 2014  April,146.7 x 72.5 x 7.9 mm (5.78 x 2.85 x 0.31 in),149,5.26,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.8% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.2.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat),Quad-core 1.3 GHz,,Mali-400MP2,microSD  up to 32 GB,8 GB,1 GB RAM,10 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,3.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2000 mAh battery,Grey| White,,http://cdn2.gsmarena.com/vv/bigpic/lava-iris-504q-plus.jpg,0,False
BenQ-Siemens,S88,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  January,Discontinued,99 x 47 x 17 mm (3.90 x 1.85 x 0.67 in),105,3.7,Mini-SIM,AMOLED  256K colors,2.0 inches| 31 x 39 mm (~27.1% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD (dedicated slot),20 MB,,2 MP| autofocus| LED flash,No,Yes,No,No,Yes,No,,No,Yes,,Removable Li-Ion 920 mAh battery,Cosmic Black| Astral White,,http://cdn2.gsmarena.com/vv/bigpic/benqsiemens-s88.gif,0,False
Sony Ericsson,W300,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  February,Discontinued,90 x 47 x 24 mm (3.54 x 1.85 x 0.94 in),94,3.32,Mini-SIM,TFT  256K colors,1.66 inches (~20.5% screen-to-body ratio),128 x 160 pixels (~123 ppi pixel density),,,,,Memory Stick Micro (M2)  up to 2 GB  256 MB included,20 MB,,VGA,No,Yes,No,No,Yes,No,,Stereo FM radio| RDS,2,,Removable Li-Po 900 mAh battery,Shadow Black| Shimmering White| Lime Green,100.0,http://cdn2.gsmarena.com/vv/bigpic/sonyericsson-w300.gif,0,False
Sony Ericsson,J110,GSM,GSM 900 / 1800 - J110i,,,,No,No,2007  February,Discontinued,99 x 44 x 17 mm (3.90 x 1.73 x 0.67 in),79,2.79,Mini-SIM,STN  65K colors,1.36 inches (~12.6% screen-to-body ratio),96 x 64 pixels (~85 ppi pixel density),,,,,No,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion battery,Smooth Grey| Soft Cream| Precious Purple,50.0,http://cdn2.gsmarena.com/vv/bigpic/sonyericsson-j110.gif,0,False
Samsung,X830,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  September,Discontinued,84 x 30 x 20 mm (3.31 x 1.18 x 0.79 in),72,2.54,Mini-SIM,TFT  256K colors,1.46 inches (~23.7% screen-to-body ratio),128 x 220 pixels (~174 ppi pixel density),,,,,No,1 GB,,1.3 MP,No,No,No,No,1.2| A2DP,No,,No,2,,Removable Li-Po 800 mAh battery,Black| Pure White| Orange| Pink,150.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-x830.gif,0,False
Acer,Liquid Z630S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2015  September,Available. Released 2015  September,156.3 x 77.5 x 8.9 mm (6.15 x 3.05 x 0.35 in),165,5.82,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~68.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP3,microSD (dedicated slot),32 GB,3 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB On-The-Go,Accelerometer| proximity| compass,Removable Li-Po 4000 mAh battery (15.2 Wh),Black| Gold,,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-z630.jpg,0,False
BLU,Advance 4.0 M,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  November,Available. Released 2016  November,123.6 x 61.5 x 10.3 mm (4.87 x 2.42 x 0.41 in),114,4.02,Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.0 inches (~59.9% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.2 GHz,,Mali-400,microSD  up to 64 GB,4 GB,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Li-Po 1300 mAh battery,Black| White/Blue,,http://cdn2.gsmarena.com/vv/bigpic/blu-a40m.jpg,0,False
Vodafone,360 H2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 7.2/5.76 Mbps,Class 10,Class 10,Not officially announced yet,Discontinued,125 x 60.8 x 11.7 mm (4.92 x 2.39 x 0.46 in),137,4.83,Mini-SIM,Super AMOLED capacitive touchscreen  16M colors,3.7 inches (~51.3% screen-to-body ratio),480 x 800 pixels (~252 ppi pixel density),LiMo OS,1.0 GHz Cortex-A8,,PowerVR SGX,microSD  up to 32 GB (dedicated slot),16 GB,,8 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,3.0| A2DP,Yes with A-GPS,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion battery,Black| Silver,,http://cdn2.gsmarena.com/vv/bigpic/vodafone-360-h2.jpg,0,False
LG,E900 Optimus 7,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 10,Class 10,2010  October. Released 2010  November,Discontinued,125 x 59.8 x 11.5 mm (4.92 x 2.35 x 0.45 in),157,5.54,Mini-SIM,TFT capacitive touchscreen  16M colors,3.8 inches (~55.0% screen-to-body ratio),480 x 800 pixels (~246 ppi pixel density),Microsoft Windows Phone 7| upgradable to 7.8,1.0 GHz Scorpion,Qualcomm QSD8650 Snapdragon S1,Adreno 200,No,16 GB,512 MB RAM| 512 MB ROM,5 MP| autofocus| LED flash| ,No,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA,2.1| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1500 mAh battery,Black,120.0,http://cdn2.gsmarena.com/vv/bigpic/lg-optimus-7.jpg,0,False
Nokia,N950,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700 / 1900 / 2100 ,,HSPA 14.4/5.76 Mbps,Yes,Yes,2011  June,Available,-,,,Mini-SIM,LCD capacitive touchscreen  16M colors,4.0 inches,480 x 854 pixels (~245 ppi pixel density),MeeGo 1.2 Harmattan OS,1.0 GHz Cortex-A8,TI OMAP 3630,PowerVR SGX530,No,8.5 GB user available,1 GB RAM,12 MP| autofocus| dual-LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,2.1| A2DP| EDR,Yes with A-GPS; Ovi Maps,,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1320 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/nokia-n950.jpg,-1,True
Kyocera,Rise C5155,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,EV-DO Rev.A 3.1 Mbps,No,No,2012  May,Available. Released 2012  August,113 x 60.5 x 14.3 mm (4.45 x 2.38 x 0.56 in),158,5.57,Mini-SIM,IPS LCD capacitive touchscreen,3.5 inches (~53.4% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),1.0 GHz,Qualcomm MSM8655 Snapdragon S2,Adreno 205,microSD  up to 32 GB (dedicated slot)  2 GB included,2 GB,512 MB RAM,3.15 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1500 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/kyocera-rise-c5155.jpg,0,False
Huawei,MediaPad M3 Lite 10,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 , LTE,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2017  May,Available. Released 2017  June,241.3 x 171.5 x 7.1 mm (9.50 x 6.75 x 0.28 in),310,10.93,Yes,IPS LCD capacitive touchscreen  16M colors,10.1 inches (~71.5% screen-to-body ratio),1200 x 1920 pixels (~224 ppi pixel density),Android 7.0 (Nougat),Octa-core 1.4 GHz Cortex-A53,Qualcomm MSM8940 Snapdragon 435,Adreno 505,No,16/32 GB,3 GB RAM or 64 GB| 4 GB RAM,8 MP| autofocus,8 MP,Yes with stereo speakers (4 speakers),Yes,Wi-Fi 802.11 a/b/g/n/ac| hotspot,4.0| A2DP,Yes with A-GPS,,No,microUSB 2.0| USB On-The-Go,Accelerometer| proximity| gyro (Bach-L09 only),Non-removable Li-Ion 6660 mAh battery,Gold| white| space grey,330.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-mediapad-m3-10-lite.jpg,77,False
Samsung,Galaxy Young 2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  June,Available. Released 2014  October,109.8 x 59.9 x 11.8 mm (4.32 x 2.36 x 0.46 in),108,3.81,Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,3.5 inches (~55.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.4.2 (KitKat),1.0 GHz Cortex-A7,,,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1300 mAh battery,Iris Charcoal| White,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-young-2-sm-g130.jpg,0,False
Philips,Xenium 9@9e,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  September,Discontinued,89.9 x 47 x 25.5 mm| 95 cc (3.54 x 1.85 x 1.00 in),105,3.7,Mini-SIM,UFB  65K colors,,128 x 160 pixels|  7 lines,,,,,No,20 MB,,1.3 MP| LED flash,No,Yes,No,No,No,No,,No,,,Removable Li-Ion 1100 mAh battery,Executive black| Elegant silver,,http://cdn2.gsmarena.com/vv/bigpic/philips-9@9e.gif,0,False
Philips,Xenium X600,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2009  April,Discontinued,96.8 x 52 x 16.5 mm (3.81 x 2.05 x 0.65 in),110,3.88,Mini-SIM,TFT  256K colors,2.2 inches (~30.3% screen-to-body ratio),176 x 220 pixels (~128 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),10 MB,,2 MP,No,Yes,No,No,2.0| A2DP,No,,FM radio| RDS,miniUSB,,Removable Li-Ion 1100 mAh battery,Phantom Black,180.0,http://cdn2.gsmarena.com/vv/bigpic/philips-x600.jpg,0,False
BLU,Slim TV,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Yes,No,2010  September. Released 2010  September,Discontinued,109 x 45 x 9.9 mm (4.29 x 1.77 x 0.39 in),102,3.6,Dual SIM (Mini-SIM),TFT  256K colors,2.2 inches (~30.6% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),32 MB,,2 MP| LED flash,No,Yes,No,No,2.0| A2DP,No,,Stereo FM radio,Yes,,Removable Li-Ion 800 mAh battery,Black| Red| Blue,,http://cdn2.gsmarena.com/vv/bigpic/blu-slim-tv.jpg,0,False
Asus,Zenfone 2 ZE550ML,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 8(900)| 28(700) - Taiwan,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  March,Available. Released 2015  March,152.5 x 77.2 x 10.9 mm (6.00 x 3.04 x 0.43 in),170,6,Dual SIM (Micro-SIM| dual stand-by| dual active),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.0 (Lollipop)| upgradable to 6.0 (Marshmallow),Quad-core 1.8 GHz,Intel Atom Z3560,PowerVR G6430,microSD  up to 256 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,5 MP| f/2.0,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| Wi-Fi Direct| hotspot,4.0| A2DP| EDR,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity| compass,Non-removable Li-Po 3000 mAh battery,Osmium Black| Glamor Red| Ceramic White,250.0,http://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-2-ze550ml.jpg,78,False
