brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Motorola,Moto E4 (USA),GSM / CDMA / HSPA / LTE,,,LTE band 1(2100)| 2(1900)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 13(700)| 17(700)| 25(1900)| 26(850)| 38(2600)| 41(2500)| 66(1700/2100),HSPA  LTE,Yes,,2017  June,Available. Released 2017  June,144.5 x 72 x 9.3 mm (5.69 x 2.83 x 0.37 in),150,,Nano-SIM,IPS LCD capacitive touchscreen  16M colors,,720 x 1280 pixels (~294 ppi pixel density),Android 7.1 (Nougat),Quad-core 1.4 GHz Cortex-A53,,,microSD  up to 128 GB,16 GB,2 GB RAM,8 MP| f/2.2| autofocus| LED flash,5 MP| f/2.2| 1.4 µm pixel size| LED flash,Yes,Yes,Wi-Fi 802.11 a/b/g/n| hotspot,4.1| A2DP| LE,,,FM radio,microUSB 2.0,Fingerprint (front-mounted| region dependent)| accelerometer| proximity| compass,,Licorice Black| Fine Gold,,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-e4-usa.jpg
HTC,Pure,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 7.2/2 Mbps,Class 12,Class 12,2009  October. Released 2009  October,Discontinued,108 x 53 x 13.7 mm (4.25 x 2.09 x 0.54 in),117.5,4.13,Mini-SIM,TFT resistive touchscreen  65K colors,3.2 inches (~50.9% screen-to-body ratio),,Microsoft Windows Mobile 6.5 Professional,528 MHz ARM 11,Qualcomm MSM7201A,Adreno 130,microSD (dedicated slot),512 MB ROM,288 MB RAM,5 MP| autofocus,VGA videocall camera,Yes,No,Wi-Fi 802.11 b/g,2.0| A2DP,Yes with A-GPS,,Stereo FM radio| RDS,miniUSB,Accelerometer,Removable Li-Ion 1100 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/htc-pure.jpg
Micromax,Vdeo 2,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),,Yes,Yes,2016  December,Available. Released 2016  December,-,,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,,480 x 854 pixels (~218 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz,Spreadtrum,,microSD  up to 32 GB,8 GB,1 GB RAM,5 MP| autofocus| LED flash,,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1800 mAh battery,,70.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-vdeo2.jpg
Nokia,1110,GSM,GSM 900 / 1800 ,,,,No,No,,Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),80,2.82,Mini-SIM,Monochrome graphic,,96 x 68 pixels,,,,,No,4 MB,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion 900 mAh battery (BL-5C),Xpress-on covers,40.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-1110.gif
HTC,,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 28(700)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  March,Available. Released 2015  May,156.5 x 76.5 x 7.5 mm (6.16 x 3.01 x 0.30 in),150,5.29,Dual SIM (Nano-SIM| dual stand-by),,5.5 inches (~69.7% screen-to-body ratio),1440 x 2560 pixels (~534 ppi pixel density),,Octa-core 2.0 GHz Cortex-A53,Mediatek MT6795M Helio X10,PowerVR G6200,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,20 MP| f/2.2| 28mm| autofocus| LED flash| ,13 MP| f/2.0| 27mm| 1080p@30fps,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| DLNA| hotspot,4.1| A2DP| aptX,Yes with A-GPS GLONASS BDS,Yes,FM radio,microUSB 2.0,,Non-removable Li-Po 2800 mAh battery,Meteor Gray| Classic Rose Gold| Gold Sepia,320.0,http://cdn2.gsmarena.com/vv/bigpic/htc-one-e9plus.jpg
Motorola,Moto G Turbo Edition,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1700 / 1900 / 2100 - XT1556,LTE band 4(1700/2100)| 7(2600)| 28(700) - XT1556,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  November,Available. Released 2015  November,142.1 x 72.4 x 11.6 mm (5.59 x 2.85 x 0.46 in),155,,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.0% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1.1 (Lollipop)| upgradable to 6.0 (Marshmallow),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Qualcomm MSM8939 Snapdragon 615,Adreno 405,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| f/2.0| autofocus| dual-LED (dual tone) flash,5 MP| f/2.2| auto-HDR,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Non-removable Li-Ion 2470 mAh battery,Black| White,280.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-g-turbo-edition-.jpg
Nokia,Lumia 630,,GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 900 / 2100 - RM-976,,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  April,Available. Released 2014  May,,134,4.73,Micro-SIM,,4.5 inches (~62.9% screen-to-body ratio),480 x 854 pixels (~221 ppi pixel density),Microsoft Windows Phone 8.1,Quad-core 1.2 GHz Cortex-A7,Qualcomm Snapdragon 400,Adreno 305,microSD  up to 256 GB (dedicated slot),,512 MB RAM,5 MP| autofocus| ,No,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,4.0| A2DP| LE/ aptX after WP8 Denim update,Yes with A-GPS GLONASS,,FM radio,,Accelerometer| sensor core,Removable Li-Ion 1830 mAh battery (BL-5H),Bright Orange| bright green| bright yellow| white| black,110.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-lumia-630-new.jpg
LG,G3 Dual-LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - D856,LTE band 1(2100)| 3(1800)| 7(2600)| 8(900)| 20(800)| 28(700)| 40(2300) - SIM 1,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Class 12,Class 12,2014  October,Available. Released 2014  November,146.3 x 74.6 x 8.9 mm (5.76 x 2.94 x 0.35 in),149,5.26,Dual SIM (Micro-SIM| dual stand-by),True HD-IPS + LCD capacitive touchscreen  16M colors,5.5 inches (~76.4% screen-to-body ratio),1440 x 2560 pixels (~534 ppi pixel density),Android 4.4.2 (KitKat)| upgradable to 5.0.2 (Lollipop) or v6.0 (Marshmallow),Quad-core 2.5 GHz Krait 400,Qualcomm MSM8975AC Snapdragon 801,Adreno 330,microSD  up to 256 GB (dedicated slot),32 GB,3 GB RAM,13 MP| phase detection/laser autofocus| OIS| dual-LED (dual tone) flash,2.1 MP| 1080p@30fps,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| LE,,Yes,,,Accelerometer| gyro| proximity| compass,Removable Li-Ion 3000 mAh battery,Metallic Black| Silk White,250.0,http://cdn2.gsmarena.com/vv/bigpic/lg-g3-dual-sim.jpg
BLU,Dash 4.5,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - D310a,,HSPA 42.2/5.76 Mbps,,Class 12,2013  July,,133 x 65 x 12 mm (5.24 x 2.56 x 0.47 in),144,5.08,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  16M colors,4.5 inches (~64.5% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589M,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| hotspot,3,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2000 mAh battery,Black,100.0,
HTC,P4350,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,,Class 10,2006  November,Discontinued,109 x 59 x 17 mm (4.29 x 2.32 x 0.67 in),168,5.93,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches| 42 x 57 mm (~37.8% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 5.0 PocketPC,200 MHz ARM926EJ-S,,,microSD (dedicated slot),,64 MB RAM,2 MP,No,Yes,No,Wi-Fi 802.11b/g,2.0| A2DP,No,,No,,,Removable Li-Ion 1130 mAh battery,Black,350.0,
Lava,A50,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2016  November,Available. Released 2016  November,123 x 63.4 x 9.7 mm (4.84 x 2.50 x 0.38 in),,,Dual SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~58.4% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.2 GHz,,,microSD  up to 32 GB,8 GB,512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| EDR,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer,Li-Ion 1550 mAh battery,Black + Silver,,http://cdn2.gsmarena.com/vv/bigpic/lava-a50.jpg
Bird,S580,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  1Q,Discontinued,107 x 44 x 20 mm (4.21 x 1.73 x 0.79 in),75,2.65,,STN  65K colors,,128 x 160 pixels,,,,,No,,,,,,No,No,No,No,,No,,,Removable Li-Ion battery,Orange| Silver,,http://cdn2.gsmarena.com/vv/bigpic/bird-s580.gif
HTC,P3350,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2007  February,Discontinued,108 x 58 x 16.8 mm (4.25 x 2.28 x 0.66 in),130,4.59,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches (~38.8% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 5.0 PocketPC,,TI OMAP 850,,,128 MB ROM,64 MB RAM,2 MP,No,Yes,No,Wi-Fi 802.11b/g,2.0| A2DP,No,,FM radio,miniUSB,,Removable Li-Ion 1200 mAh battery,Silver,210.0,http://cdn2.gsmarena.com/vv/bigpic/htc-p3350.gif
Nokia,603,,GSM 850 / 900 / 1800 / 1900 ,,,HSPA 14.4/5.76 Mbps,,Class 33,2011  October,Available. Released 2011  October,113.5 x 57.1 x 12.7 mm| 74 cc (4.47 x 2.25 x 0.5 in),109.6,3.84,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,,360 x 640 pixels (~210 ppi pixel density),,1.0 GHz,,,microSD  up to 32 GB (dedicated slot),2 GB (340 MB user available),512 MB RAM| 1 GB ROM,5 MP| fixed focus,No,Yes,Yes,,3.0| A2DP,Yes with A-GPS,Yes,Stereo FM radio| RDS,microUSB 2.0| USB Host,Accelerometer| proximity| compass,,Black| white (front panel)/ black| white| fuchsia| green| yellow| blue (back panel),,http://cdn2.gsmarena.com/vv/bigpic/nokia-603-ofic.jpg
Orange,Barcelona,GSM / HSPA,GSM 900 / 1800 / 1900 ,,,HSPA,Yes,Yes,2011  Q2,Available. Released 2011  Q2,115 x 63 x 9.9 mm (4.53 x 2.48 x 0.39 in),115,4.06,Mini-SIM,TFT touchscreen  256K colors,2.6 inches (~27.8% screen-to-body ratio),-,Android 2.2 (Froyo),,,,,,,3.15 MP| autofocus,No,Yes,,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,,Stereo FM radio| RDS,,Accelerometer,Removable Li-Ion battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/orange-barcelona.jpg
Samsung,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 40(2300),HSPA  LTE Cat4 150/50 Mbps,Yes,Yes,2016  September,Available. Released 2016  October,151.7 x 76 x 7.8 mm (5.97 x 2.99 x 0.31 in),,5.96,Dual SIM (Micro-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,5.5 inches (~72.3% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0.1 (Marshmallow),Octa-core 1.6 GHz Cortex-A53,Exynos 7580 Octa,Mali-T720MP2,microSD  up to 256 GB (dedicated slot),16 GB,,13 MP| f/1.9| 28mm| autofocus| LED flash,5 MP| f/1.9| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.1| A2DP,,Yes,FM radio| RDS| recording,microUSB 2.0,,Removable Li-Ion 3300 mAh battery,White| Black| Gold,300.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-j7-2016.jpg
Samsung,E1390,GSM,GSM 900 / 1800 ,,,,Class 10,No,2009  September. Released 2009  September,,108 x 46 x 15.3 mm (4.25 x 1.81 x 0.60 in),80,2.82,Mini-SIM,CSTN  65K colors,1.63 inches (~17.3% screen-to-body ratio),128 x 128 pixels (~111 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),5 MB,,,,,No,No,No,No,,FM radio| RDS| recording,Yes 2.0,,Removable Li-Ion 1000 mAh battery,Gray| Black| Blue,30.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1390.jpg
Micromax,Canvas Tab P470,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,,,2015  January,,192 x 113 x 10.4 mm (7.56 x 4.45 x 0.41 in),306,10.79,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,7.0 inches (~63.6% screen-to-body ratio),600 x 1024 pixels (~170 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,Mediatek MT8312,Mali-400,microSD  up to 32 GB,8 GB,1 GB RAM,5 MP| LED flash,VGA,Yes,Yes,,2.1,Yes,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Non-removable Li-Ion 3200 mAh battery,Classy Silver| Mystic Grey,90.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-p470.jpg
Samsung,X150,GSM,,,,,No,No,2005  4Q,Discontinued,85 x 44 x 20 mm (3.35 x 1.73 x 0.79 in),69,2.43,Mini-SIM,CSTN  65K colors,1.5 inches (~18.9% screen-to-body ratio),128 x 160 pixels| 8 lines (~137 ppi pixel density),,,,,No,,,,,No,No,,No,No,,No,,,,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-x150.gif
Maxon,MX-6869,GSM,GSM 900 ,,,,No,No,2000,Discontinued,110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in),135,4.76,Mini-SIM,Monochrome graphic,,4 x 12 chars,,,,,No,,,,,,No,No,No,No,,No,,,Removable NiMH 600 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ma6869b.gif
Nokia,C2-00,GSM,GSM 900 / 1800 - SIM 1,,,,Class 12,Class 6 (Up to 177.6 kbps),2010  June. Released 2011  July,Discontinued,108 x 45 x 14.7 mm| 67.9 cc (4.25 x 1.77 x 0.58 in),74.1,,,TFT  65K colors,1.8 inches (~21.0% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),64 MB ROM,,VGA,No,Yes,,No,2.1| EDR,No,,Stereo FM radio| recording (selected markets),microUSB,,Removable Li-Ion 1020 mAh battery (BL-5C),Dynamic Gray| Jet Black| Magenta| Dark Blue| Snow White,50.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-c2-00.jpg
BLU,Brilliant,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Yes,No,2010  September. Released 2010  Q4,Discontinued,,102,3.6,Dual SIM (Mini-SIM),TFT  256K colors,2.2 inches (~30.6% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,,No,Yes,No,No,2.0| A2DP,No,,Stereo FM radio,Yes,,Removable Li-Ion 800 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/blu-brilliant1-2.jpg
Gionee,Ctrl V4s,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA,Class 12,Class 12,2014,Available. Released 2014,131 x 65 x 7.8 mm (5.16 x 2.56 x 0.31 in),,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~65.5% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,,Yes,Wi-Fi 802.11 b/g/n| hotspot,,Yes with A-GPS,,FM radio,,Accelerometer| proximity| compass,Removable Li-Ion 1800 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/gionee-ctrl-v4s.jpg
Huawei,Ascend P6,GSM / HSPA / EVDO,GSM 850 / 900 / 1800 / 1900 - international version,HSDPA 850 / 900 / 1700 / 1900 / 2100 - international version,,,Class 10,,2013  June,,132.7 x 65.5 x 6.2 mm (5.22 x 2.58 x 0.24 in),120,4.23,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),IPS+ LCD capacitive touchscreen  16M colors,4.7 inches (~70.1% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.2.2 (Jelly Bean)| upgradable to 4.4.2 (KitKat),Quad-core 1.5 GHz Cortex-A9,Huawei K3V2,Vivante GC4000,microSD  up to 32 GB (dedicated slot) - single-SIM model,8/16 GB,2 GB RAM,8 MP| f/2.0| autofocus| LED flash| ,5 MP| 720p,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| DLNA| hotspot,3.0| A2DP| EDR| LE,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0| USB Host,Accelerometer| gyro| proximity| compass| temperature,,Black| White| Pink,230.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-ascend-p6-ofic.jpg
i-mate,810-F,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,Class 12,Class 12,2009  February. Released 2009,Discontinued,111 x 66 x 15.5 mm (4.37 x 2.60 x 0.61 in),150,5.29,Mini-SIM,TFT resistive touchscreen  65K colors,2.46 inches (~25.6% screen-to-body ratio),320 x 240 pixels (~163 ppi pixel density),Microsoft Windows Mobile 6.1 Professional,624 MHz Marvell PXA310,,,No,2 GB,128 MB RAM| 256 MB ROM,2 MP,Yes,Yes,No,Wi-Fi 802.11 b/g,,Yes,,No,Yes,Accelerometer| compass,Removable Li-Po 1200 mAh battery,,550.0,http://cdn2.gsmarena.com/vv/bigpic/i-mate-810-f.jpg
HTC,Paradise,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA,Class 10,Class 10,Not officially announced yet,Cancelled,,,,Mini-SIM,TFT capacitive touchscreen   256K colors,,320 x 480 pixels (~180 ppi pixel density),Android OS,,,,microSD  up to 32 GB (dedicated slot),,,3.15 MP,No,,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,,,,microUSB 2.0,Accelerometer,Removable Li-Ion 1200 mAh battery,Black,,
,Pearl 8110,,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2008  January. Released 2008  January,Discontinued,107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in),91,3.21,Mini-SIM,65K colors,2.2 inches (~29.1% screen-to-body ratio),240 x 260 pixels (~161 ppi pixel density),BlackBerry OS,32-bit Intel XScale PXA272 312 MHz,,,microSD  up to 4 GB (dedicated slot),64 MB ROM,32 MB RAM,2 MP| LED flash,No,Yes,Yes,No,2.0| A2DP,,,No,,,,Black| Blue,,http://cdn2.gsmarena.com/vv/bigpic/blackberry-8110.jpg
,my900C,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,,Yes,2006  March,Cancelled,90 x 45 x 23.5 mm (3.54 x 1.77 x 0.93 in),115,4.06,Mini-SIM,TFT  256K colors,,240 x 320 pixels,,,,,miniSD,,,2 MP,VGA videocall camera,No,No,No,Yes,No,,No,Yes,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/sagem-my900c.gif
Amoi,,GSM,GSM 900 / 1800 / CDMA2000 1x EV-DO,,,,,No,2007,Discontinued,,,,Mini-SIM,,2.0 inches (~27.5% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD (dedicated slot),90 MB,,,No,No,No,No,1.1,No,,No,No,,Removable Li-Ion 860 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/amoi-8170.gif
Motorola,A3000,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 12,Class 12,2009  January. Released 2009  March,Discontinued,109 x 60 x 13.8 mm (4.29 x 2.36 x 0.54 in),119,4.2,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches (~37.1% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 6.1 Professional,400 MHz ARM 11,Qualcomm ESM7206A,Adreno 130,microSD  up to 32 GB (dedicated slot),256 MB,128 MB RAM,3.15 MP| autofocus| LED flash,No,Yes,Yes,No,2.0| A2DP,Yes with A-GPS,,No,miniUSB,,Removable Li-Ion 1130 mAh battery,Black,130.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-a3000.jpg
Karbonn,Titanium Mach Two S360,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2015  March,Available. Released 2015  March,138 x 70.5 x 6.3 mm (5.43 x 2.78 x 0.25 in),112,3.95,Dual SIM,IPS LCD capacitive touchscreen  16M colors,,720 x 1280 pixels (~294 ppi pixel density),Android 4.4.2 (KitKat)| upgradable to 5.0 (Lollipop),,,,microSD  up to 32 GB,,1 GB RAM,8 MP| autofocus| LED flash,8 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 1900 mAh battery,Deep Blue,140.0,http://cdn2.gsmarena.com/vv/bigpic/karbonn-titanium-mach-two.jpg
Acer,beTouch E210,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/2 Mbps,Yes,Yes,2011  January,Available. Released 2011  Q2,116 x 63 x 12 mm (4.57 x 2.48 x 0.47 in),109,3.84,Mini-SIM,TFT resistive touchscreen  256K colors,2.6 inches (~28.6% screen-to-body ratio),320 x 240 pixels (~154 ppi pixel density),Android 2.2 (Froyo),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| compass,Removable Li-Ion 1300 mAh battery,Black| White,150.0,http://cdn2.gsmarena.com/vv/bigpic/acer-betouch-e210.jpg
Sony Ericsson,K500,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  3Q,Discontinued,102 x 46 x 14 mm (4.02 x 1.81 x 0.55 in),80,2.82,Mini-SIM,TFT  65K colors,1.9 inches| 30 x 37 mm (~24.2% screen-to-body ratio),128 x 160 pixels (~108 ppi pixel density),,,,,No,12 MB,,VGA,No,No,No,,No,No,,No,Yes,,,2 - Virtual Silver| Cosmetic Blue,,http://cdn2.gsmarena.com/vv/bigpic/snk500.gif
Lenovo,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 , HSDPA, LTE,HSPA  LTE,Yes,Yes,2014  September,Available. Released 2014  September,209.8 x 123.8 x 7.9 mm (8.26 x 4.87 x 0.31 in),299,10.55,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,,1200 x 1920 pixels (~283 ppi pixel density),Android 4.4.2 (KitKat),,,,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,8 MP| autofocus| LED flash,1.6 MP| 720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 3.0,Accelerometer,Non-removable Li-Ion 4290 mAh battery,Ebony| Blue| Canary Yellow| White,150.0,http://cdn2.gsmarena.com/vv/bigpic/lenovo-tablet-s8.jpg
Samsung,S5611,GSM / HSPA,,HSDPA 900 / 2100 ,,HSPA,Class 12,Class 12,2014  February,Available. Released 2014  February,118.9 x 49.7 x 12.9 mm (4.68 x 1.96 x 0.51 in),91,3.21,Mini-SIM,TFT  256K colors,2.4 inches (~30.2% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,460 MHz,,,microSD  up to 16 GB (dedicated slot),256 MB,,5 MP| autofocus| LED flash,,Yes,Yes,No,3.0| A2DP,No,,Stereo FM radio| RDS| recording,microUSB 2.0,,Removable Li-Ion 1000 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/samsung-gt-s5611.jpg
Sony,Xperia E dual,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - C1605,,HSPA 7.2/5.76 Mbps,Up to 86 kbps,Up to 237 kbps,2012  December,Available. Released 2013  January,113.5 x 61.8 x 11 mm (4.47 x 2.43 x 0.43 in),115.7,4.06,,TFT capacitive touchscreen  256K colors,3.5 inches (~52.0% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.1.1 (Jelly Bean),1.0 GHz Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,3.15 MP| ,No,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,2.1| EDR,Yes with A-GPS,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1530 mAh battery,,100.0,
